id_smlouvy,celkova_spotreba,cena_za_mwh,mena,celkova_cena v CZK
1000,958830.395668413,3514.5512302554907,CZK,3369858546.70278
1001,872163.8214694378,5865.009630964585,CZK,5115249212.697129
1002,891602.9116514457,2045.2632199302318,EUR,72942505.67933623
1003,937469.3526278241,3855.8678371017863,CZK,3614757925.06626
1004,917832.1230759759,2489.5067781239964,CZK,2284949291.57758
1005,905799.0396630798,5151.813166036945,CZK,4666507418.319876
1006,914781.4934945877,3079.7105817005813,EUR,112690489.81836574
1007,934277.2424089643,2568.639749249446,CZK,2399821661.670826
1008,918530.400734379,4694.906207150139,CZK,4312414079.86394
1009,920291.1826246218,3125.045992416298,CZK,2875952272.11713
1010,854888.2119377767,4775.918651924241,CZK,4082876556.703791
1011,915459.714013991,2973.814634958213,CZK,2722407495.2494664
1012,885378.45580738,2533.5777737979342,CZK,2243175177.0331144
1013,934618.4427574071,2735.133964927117,CZK,2556306647.033075
1014,913637.1397115323,1964.7675831401052,EUR,71803385.39432263
1015,964909.480471946,3616.200018747908,CZK,3489305681.372685
1016,941726.814202866,3171.8459801254894,EUR,119480496.40022978
1017,903790.688223893,3985.813631873382,CZK,3602341245.4830184
1018,880354.7387240544,3979.20876853592,EUR,140124611.83011624
1019,903819.2259038184,5541.941339560246,EUR,200356525.26102847
1020,905111.1748458906,3643.8030263774917,CZK,3298046838.111543
1021,923033.2806177841,3817.3099390301704,CZK,3523504116.1578918
1022,921660.8900153579,3327.709013267582,CZK,3067019250.880328
1023,939977.0579968321,5007.200781956067,EUR,188266154.39290002
1024,909194.1482927934,2546.65010198764,EUR,92615974.81905632
1025,894253.281934763,5535.1077953063195,CZK,4949788311.815367
1026,845501.6376454267,4041.7139944887504,EUR,136691032.0493871
1027,922124.3001332013,4890.575464490403,CZK,4509718477.441818
1028,899380.6949305785,3106.2543773361685,EUR,111748208.82079019
1029,932403.560233978,5806.591687234659,CZK,5414086762.002617
1030,915954.169320231,3809.116575467204,CZK,3488976208.7259855
1031,924458.9967725874,4644.160307775617,CZK,4293335778.977318
1032,943392.2716317077,5559.5296300788505,CZK,5244817286.923874
1033,868340.0886153955,1950.7051059901269,CZK,1693875444.5979712
1034,925669.946541972,5720.243673364609,EUR,211802306.21321884
1035,903615.9880663079,1988.8496993832557,CZK,1797156386.22358
1036,995665.3855669927,3721.1086474227795,CZK,3704979076.1728725
1037,917935.5891658816,3348.110590464372,EUR,122933994.69801764
1038,862422.5104963921,2989.6042080915813,CZK,2578301966.53292
1039,947855.4584563988,5905.304689130946,CZK,5597375283.440934
1040,906536.8479598855,4639.921368211799,CZK,4206259691.9204435
1041,969334.8671795334,3585.045121917246,CZK,3475109237.0862875
1042,905018.4248858467,2960.593715339708,EUR,107175674.43934716
1043,894895.0867891307,5701.959303326498,CZK,5102655365.618458
1044,906421.5623674496,2819.217758690391,CZK,2555399765.4862037
1045,929915.1778909254,5121.952160583719,EUR,190519242.18232074
1046,930629.5535730338,5691.005551179758,CZK,5296217955.476075
1047,924862.523381033,2480.370882295805,CZK,2294002073.1209373
1048,932119.7093903854,4176.546645491489,CZK,3893041445.4509153
1049,943055.7433631134,4999.683529548578,CZK,4714980267.538749
1050,915433.1703297654,4041.629460819331,CZK,3699841670.6160207
1051,896099.1203832012,2899.97886647218,CZK,2598668511.375593
1052,927306.3379552697,1923.457588242152,CZK,1783634412.3651052
1053,871008.0594279091,5468.592841520777,CZK,4763188438.694367
1054,947244.8672567676,5461.598765456996,EUR,206938855.90380153
1055,937213.9472050541,3594.6221047945164,CZK,3368929971.545008
1056,920087.8819966426,3363.308292377881,CZK,3094539203.235709
1057,877685.5967453711,5341.837898848036,CZK,4688454183.967478
1058,893512.9793059642,4376.612364777302,CZK,3910559953.3194885
1059,927692.8924668564,3591.345690929441,CZK,3331665871.866714
1060,918431.039197781,4958.675487782326,CZK,4554201481.288486
1061,870113.3465410447,3916.2457324142097,EUR,136303107.2043205
1062,943058.6846402712,5077.086385858629,EUR,191519616.35411468
1063,914420.3280907153,2001.8752724997244,CZK,1830555443.475888
1064,937596.037928667,2928.4436994027465,CZK,2745697209.8571835
1065,928729.7218741757,5342.876995905324,CZK,4962088666.415083
1066,929057.427511057,5565.984697908505,CZK,5171119425.004784
1067,968682.1521086037,5876.7368596631695,CZK,5692690108.594477
1068,965270.6657325113,2308.4904337764146,CZK,2228318097.8484936
1069,905057.4732642396,5078.527085008921,CZK,4596358891.462178
1070,919034.4608485685,3296.6037611398788,CZK,3029692460.2505517
1071,905739.0740061521,3667.8032435652694,CZK,3322072713.463568
1072,898695.1828730348,5110.724463786636,CZK,4592983456.596424
1073,881687.8606303436,5731.111255302803,CZK,5053051221.722411
1074,923915.9269925832,2941.9839507584857,CZK,2718145829.0623283
1075,890353.2738845616,1800.570616648481,CZK,1603143943.3933191
1076,908415.6888255056,2532.505829504719,EUR,92022721.1025655
1077,877992.439572623,4972.357416406979,CZK,4365692218.458188
1078,898287.7939554381,2357.5496191486836,CZK,2117758046.5255542
1079,903029.9984024949,3570.564320504608,CZK,3224326692.6412816
1080,895171.2002519156,3314.4658560119506,EUR,118680575.14080842
1081,951470.2507167037,3096.9575258611976,CZK,2946662953.590136
1082,879891.5962979473,4116.499571402834,CZK,3622073379.0414553
1083,900287.8412470799,4125.700175612223,EUR,148572708.18938506
1084,914902.7713194733,4809.517352663395,CZK,4400240754.660837
1085,909999.144743724,2197.2731161507954,CZK,1999516656.4656012
1086,885616.8932761854,3688.1543323067694,EUR,130651671.26802501
